cid,drug,dili,dose,mw,fsp3,clogp,psa,clogd,ion,eccs,bddcs,cFuHPPB,cFuBrain,fu_liver,fu_bsa,kp,kpuu,bsep,hepg2_72h,hepg2_gal,hepg2_glu,mrp2,mrp3,mrp4,thle,fu_plasma,fu_bsa_exp,fu_liver_exp,kpuu_exp,cmax
54889,moexipril hydrochloride,Ambiguous,60,498.5681,0.444444444,1.394,114.4,0.393,Acidic,Class 3B,Class 0,0.149,0.425,0.425,0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.075,NA,NA,NA,0.0922
8954,sulfoxone sodium,Unknown,990,404.4816,0.142857143,-1.212,132.8,-1.91,Acidic,Class 3B,Class 0,0.0687,0.328,0.328,0.0687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46700777,siponimod fumaric acid,Unknown,2,516.5950896,0.517,6.401,62.13,4.5,Zwitter,Class 3B,Class 0,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001,NA,NA,NA,NA
135564391,levomefolate calcium,None,15,459.4558,0.35,-2.252,202.77,-1.71,Acidic,Class 3B,Class 0,0.37,0.945,0.945,0.791,46.16,55.14690265,NA,NA,NA,NA,NA,NA,NA,NA,0.791,NA,NA,NA,5.7
15424,propoxyphene hydrochloride,Less,390,339.4712,0.409090909,5.21,29.54,2.85,Basic,Class 2,Class 2,0.0562,0.0227,0.0227,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,NA,NA,NA,0.1
6442177,everolimus,Ambiguous,2,958.2244,0.754716981,7.103,204.66,6.61,Neutral,Class 4,Class 1,0.00861,0.00137,0.00137,0.26,NA,NA,5.692503962,NA,NA,NA,4.946921557,4.075720714,4.022276395,NA,0.26,NA,NA,NA,0.0258
6151,mebutamate,Unknown,600,232.2768,0.8,1.314,104.64,0.773,Neutral,Class 2,Class 0,0.945,0.277,0.277,0.945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101587,hexocyclium methylsulfate,Unknown,75,317.4888,0.7,1.408,23.47,0.768,Neutral,Class 4,Class 0,0.814,0.266,0.266,0.814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227260,phenylpropanolamine polistirex,Unknown,150,151.2056,0.333333333,0.584,46.25,-0.853,Basic,Class 2,Class 3,0.942,0.299,0.299,0.942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101597,cycrimine hydrochloride,Unknown,3.75,287.4397,0.684210526,4.592,23.47,1.416,Basic,Class 2,Class 0,0.233,0.0906,0.0906,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79,NA,NA,NA,NA
60020,temafloxacin hydrochloride,Unknown,1200,417.3811,0.238095238,1.374,74.57,0.998,Zwitter,Class 3B,Class 3,0.284,0.329,0.329,0.284,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
5483,tiopronin,Ambiguous,1000,163.1949,0.6,-0.235,66.4,-1.52,Acidic,Class 3A,Class 0,0.872,0.136,0.136,0.872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56959086,naloxegol oxalate,Unknown,25,651.7847,0.764705882,0.441,126.77,0.701,Basic,Class 4,Class 0,0.621,0.395,0.395,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96,NA,NA,NA,0.071
131535,fosamprenavir calcium,Ambiguous,2800,585.6068,0.48,3.036,177.72,-0.697,Acidic,Class 3B,Class 2,0.157,0.0393,0.0393,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,4.82
10077129,vorapaxar sulfate,Unknown,2.08,492.5817,0.482758621,4.341,77.52,5.02,Neutral,Class 4,Class 0,0.0123,0.00258,0.00258,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,0.067
56843850,vortioxetine hydrobromide,Unknown,20,298.4457,0.333333333,4.92,15.27,2.907,Basic,Class 4,Class 0,0.0338,0.00162,0.00162,0.0102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0102,NA,NA,NA,0.018
21302490,lumateperone,Unknown,42,393.4971432,0.458,4.435,26.79,2.814,Basic,Class 4,Class 0,0.0341,0.0102,0.0102,0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026,NA,NA,NA,NA
60822,atorvastatin calcium,Most,80,558.6398,0.272727273,4.457,111.79,1.238,Acidic,Class 3B,Class 2,0.00841,0.0033,0.0201,0.165,46.69,5.687690909,4.534376667,4.000343228,3.931962003,0,0,4.847711656,4.053056729,4.619151124,0.051125,0.165,0.0201,5.687690909,0.0367
5330286,palbociclib,Ambiguous,125,447.5328,0.458333333,2.345,105.04,1.323,Basic,Class 2,Class 0,0.101,0.019,0.019,0.15,NA,NA,0,4.920996795,4.574118136,4.514393511,NA,NA,NA,4.562834632,0.15,NA,NA,NA,0.0523
60662,mibefradil dihydrochloride,Unknown,50,495.6287,0.517241379,6.364,67.45,3.67,Basic,Class 2,Class 2,0.0386,0.0141,0.0141,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.774536338,0.005,NA,NA,NA,NA
441401,linezolid,Less,1200,337.3461,0.5,0.168,71.11,0.5581,Neutral,Class 2,Class 1,0.484,0.149,0.149,0.665,71.44,16.00685714,0,0,0,0,0,0,0,1.888680479,0.631,0.665,NA,NA,11
60825,lamivudine,Less,300,229.2562,0.5,-1.462,90.37,-0.1,Neutral,Class 4,Class 3,0.676,0.251,0.251,0.86,NA,NA,0,0,0,0,0,0,0,0,0.86,NA,NA,NA,9.8
4236,modafinil,Less,400,273.3501,0.133333333,0.937,60.16,1.593,Neutral,Class 2,Class 2,0.306,0.0918,0.0918,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,5
16230,amiloride hydrochloride,Less,50,229.627,0,0.108,156.79,-0.9,Basic,Class 2,Class 3,0.889,0.377,0.066,0.493,38.78,5.191643002,NA,1.781619128,0,0,NA,NA,NA,0,0.75,0.493,0.066,5.191643002,38
4497,nimodipine,Ambiguous,360,418.4403,0.428571429,4.003,119.68,3.61,Neutral,Class 2,Class 2,0.0203,0.00678,0.00678,0.05,NA,NA,2.54292221,3.980412816,3.781728963,3.660983333,0,0,0,4.04552821,0.05,NA,NA,NA,0.0345
135398737,clozapine,Most,900,326.8233,0.277777778,3.714,30.87,3.207,Basic,Class 2,Class 2,0.08,0.0124,0.0106,0.25,51.73,2.193352,0,4.327837465,3.756235426,3.868301156,0,0,0,3.853833517,0.133,0.25,0.0106,2.193352,0.319
62969,verapamil hydrochloride,Less,480,454.6016,0.518518519,4.466,63.95,2.566,Basic,Class 2,Class 1,0.238,0.00778,0.00296,0.502,33.61,0.198178486,0,4.23421972,3.736666978,3.687346704,0,0,0,3.633411677,0.1965,0.502,0.00296,0.198178486,0.079
16362,pimozide,None,10,461.5462,0.321428571,6.401,41.03,5,Basic,Class 4,Class 1,0.00736,0.000551,5.75E-05,0.017,116.46,0.393908824,NA,4.709304595,4.53610517,4.306113085,NA,NA,NA,4.344222723,0.00545,0.017,5.75E-05,0.393908824,0.0044
41114,nicardipine hydrochloride,Ambiguous,120,479.525,0.307692308,5.23,113.69,4.12,Basic,Class 2,Class 1,0.0228,0.00282,0.00282,0.00823,NA,NA,5.104025268,4.200067008,4.122657454,3.747857333,0,0,4.055517328,4.380262429,0.00823,NA,NA,NA,NA
62920,diltiazem hydrochloride,Most,540,414.5178,0.363636364,3.647,59.08,2.026,Basic,Class 2,Class 1,0.148,0.102,0.0311,0.411,10.37,0.784688564,0,3.959102676,0,3.570382138,0,0,0,0,0.409,0.411,0.0311,0.784688564,0.15627
